# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACTG1P4	ACTG1P4	NR_024438.2		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AHNAK	AHNAK	NM_001620.2	protein_coding	0	2	3	0	0	0	0	0	3	0	0	0	0	2	0
AHNAK	AHNAK	NM_024060.3	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0
AMY1A	AMY1A	NM_001008221.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AMY1A	AMY1A	NM_004038.3	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AMY1B	AMY1B	NM_001008218.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AMY1C	AMY1C	NM_001008219.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AMY2B	AMY2B	NM_020978.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ANKRD20A9P	ANKRD20A9P	NR_027995.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD20A9P	ANKRD20A9P	NR_138091.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CCDC65	CCDC65	NM_001286957.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CCDC65	CCDC65	NM_033124.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CTAGE1	CTAGE1	NM_172241.2	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_001247988.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_001247989.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_001247990.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_001329214.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_005930.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_203354.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_203355.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE5	CTAGE5	NM_203356.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTAGE7P	CTAGE7P	NR_044994.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTTNBP2NL	CTTNBP2NL	NM_018704.2	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DACT2	DACT2	NM_001286351.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
FAM230C	FAM230C	NR_027278.1		0	0	0	23	0	0	0	23	0	0	0	0	0	0	0
FAM66A	FAM66A	NR_026789.1		0	0	0	5	0	0	0	5	0	0	0	0	0	0	0
FCHSD2	FCHSD2	NM_014824.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
FRG1CP	FRG1CP	NR_132315.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
GOLGA8F	GOLGA8F.2	NR_033351.1.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GOLGA8G	GOLGA8G.2	NR_033353.1.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GUSBP11	GUSBP11	NR_024448.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
HIST1H2AG	HIST1H2AG	NM_021064.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
HIST1H2BJ	HIST1H2BJ	NM_021058.3	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
KIR3DL1	KIR3DL1	NM_001322168.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
KIR3DL1	KIR3DL1	NM_013289.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
KRT33B	KRT33B	NM_002279.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
LINC00937	LINC00937	NR_024420.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
LINC00959	LINC00959	NR_034125.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
LOC100507412	LOC100507412	NR_038958.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
LOC100996432	LOC100996432	NR_136571.1		0	0	0	8	0	0	0	6	0	0	0	0	0	0	2
LOC101243545	LOC101243545	NR_102265.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
LOC101927079	LOC101927079	NR_110480.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
LOC102723780	LOC102723780	NR_132320.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
LOC642643	LOC642643	NR_136561.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
LOC649352	LOC649352	NR_046415.1		0	0	0	5	0	0	5	0	0	0	0	0	0	0	0
LOC727924	LOC727924	NR_015416.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
LPA	LPA	NM_005577.2	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0
LRRC37A6P	LRRC37A6P	NR_003525.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MYH8	MYH8	NM_002472.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
MYHAS	MYHAS	NR_125367.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF1	NBPF1	NM_017940.4	protein_coding	0	1	3	1	0	0	0	1	3	0	0	0	0	1	0
NBPF10	NBPF10	NM_001039703.5	protein_coding	0	0	2	1	0	0	0	1	2	0	0	0	0	0	0
NBPF10	NBPF10	NM_001302371.1	protein_coding	0	0	2	1	0	0	0	1	2	0	0	0	0	0	0
NBPF11	NBPF11	NM_001101663.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF11	NBPF11	NM_183372.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF11	NBPF11	NR_046188.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF11	NBPF11	NR_110864.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF14	NBPF14	NM_015383.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
NBPF15	NBPF15	NM_001170755.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF15	NBPF15	NM_173638.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF20	NBPF20	NM_001278267.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
NBPF25P	NBPF25P	NR_104217.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
NBPF25P	NBPF25P.2	NR_104217.1.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NBPF25P	NBPF25P.3	NR_104217.1.3		0	0	0	5	0	0	0	5	0	0	0	0	0	0	0
NBPF8	NBPF8.2	NM_001037501.2.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
NBPF8	NBPF8.2	NR_102404.1.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
NBPF8	NBPF8.2	NR_102405.1.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
NBPF9	NBPF9	NM_001277444.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
NBPF9	NBPF9.2	NM_001277444.1.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
OR5H15	OR5H15	NM_001005515.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OXA1L	OXA1L	NM_005015.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PCDHB12	PCDHB12	NM_018932.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
PCDHB13	PCDHB13	NM_018933.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PDE4DIP	PDE4DIP	NM_001002811.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PDE4DIP	PDE4DIP	NM_001002812.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PDE4DIP	PDE4DIP	NM_001198832.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PDE4DIP	PDE4DIP	NM_001198834.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PDE4DIP	PDE4DIP	NM_014644.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PMS2	PMS2	NM_000535.6	protein_coding	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0
PMS2	PMS2	NM_001322003.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
PMS2	PMS2	NM_001322004.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
PMS2	PMS2	NM_001322005.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
